"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.594541760E-1,1.963125038E1,-3.601875305E1,-3.750000000E1
9.694541760E-1,1.985625076E1,-3.641250229E1,-3.751875305E1
9.794541760E-1,2.021250153E1,-3.652500153E1,-3.787500000E1
9.894541760E-1,2.021250153E1,-3.669375229E1,-3.765000153E1
9.994541760E-1,2.051250076E1,-3.680625153E1,-3.781875229E1
1.009454176E0,2.040000153E1,-3.714375305E1,-3.780000305E1
1.019454176E0,2.025000000E1,-3.708750153E1,-3.815625000E1
1.029454176E0,2.030625153E1,-3.727500153E1,-3.838125229E1
1.039454176E0,2.011875153E1,-3.727500153E1,-3.832500076E1
1.049454176E0,1.978125000E1,-3.708750153E1,-3.823125076E1
1.059454176E0,1.961250114E1,-3.682500076E1,-3.763125229E1
1.069454176E0,1.974375153E1,-3.671250153E1,-3.785625076E1
1.079454176E0,1.940625000E1,-3.716250229E1,-3.813750076E1
1.089454176E0,1.927500153E1,-3.716250229E1,-3.828750229E1
1.099454176E0,1.936875153E1,-3.725625229E1,-3.849375153E1
1.109454176E0,1.912500000E1,-3.708750153E1,-3.828750229E1
1.119454176E0,1.940625000E1,-3.690000153E1,-3.819375229E1
1.129454176E0,1.961250114E1,-3.699375153E1,-3.821250153E1
1.139454176E0,1.970625114E1,-3.703125000E1,-3.834375000E1
1.149454176E0,1.955625153E1,-3.697500229E1,-3.802500153E1
1.159454176E0,1.981875038E1,-3.658125305E1,-3.750000000E1
1.169454176E0,1.998750114E1,-3.639375305E1,-3.746250153E1
1.179454176E0,1.987500000E1,-3.661875153E1,-3.714375305E1
1.189454176E0,1.995000076E1,-3.669375229E1,-3.735000229E1
1.199454176E0,1.987500000E1,-3.688125229E1,-3.731250000E1
1.209454176E0,1.978125000E1,-3.688125229E1,-3.740625000E1
1.219454176E0,1.948125076E1,-3.710625076E1,-3.759375000E1
1.229454176E0,1.940625000E1,-3.725625229E1,-3.781875229E1
1.239454176E0,1.931250000E1,-3.721875000E1,-3.778125000E1
1.249454176E0,1.942500114E1,-3.738750076E1,-3.793125153E1
1.259454176E0,1.965000153E1,-3.701250076E1,-3.793125153E1
1.269454176E0,1.959375000E1,-3.695625305E1,-3.795000076E1
1.279454176E0,1.976250076E1,-3.731250000E1,-3.836250305E1
1.289454176E0,1.976250076E1,-3.710625076E1,-3.830625153E1
1.299454176E0,2.002500153E1,-3.669375229E1,-3.789375305E1
1.309454176E0,2.002500153E1,-3.661875153E1,-3.800625229E1
1.319454176E0,2.017500114E1,-3.660000229E1,-3.798750305E1
1.329454176E0,2.019375038E1,-3.639375305E1,-3.783750153E1
1.339454176E0,2.015625000E1,-3.631875229E1,-3.765000153E1
1.349454176E0,2.021250153E1,-3.622500229E1,-3.740625000E1
1.359454176E0,2.010000038E1,-3.601875305E1,-3.729375076E1
1.369454176E0,2.032500076E1,-3.586875153E1,-3.735000229E1
1.379454176E0,2.032500076E1,-3.601875305E1,-3.751875305E1
1.389454176E0,2.049375153E1,-3.609375000E1,-3.759375000E1
1.399454176E0,2.041875076E1,-3.600000000E1,-3.763125229E1
1.409454176E0,2.041875076E1,-3.581250000E1,-3.766875076E1
1.419454176E0,2.036250114E1,-3.583125305E1,-3.793125153E1
1.429454176E0,2.040000153E1,-3.603750229E1,-3.815625000E1
1.439454176E0,2.025000000E1,-3.615000153E1,-3.802500153E1
1.449454176E0,2.006250000E1,-3.641250229E1,-3.783750153E1
1.459454176E0,2.006250000E1,-3.615000153E1,-3.819375229E1
1.469454176E0,1.989375114E1,-3.592500305E1,-3.808125305E1
1.479454176E0,1.972500038E1,-3.613125229E1,-3.815625000E1
1.489454176E0,1.936875153E1,-3.622500229E1,-3.815625000E1
1.499454176E0,1.935000038E1,-3.643125153E1,-3.795000076E1
1.509454176E0,1.935000038E1,-3.626250076E1,-3.804375076E1
1.519454176E0,1.923750114E1,-3.581250000E1,-3.823125076E1
